Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
Like the Weather,"10,000 Maniacs",1987,236653,4,0.77,0.459,1,-17.453,1,0.0416,0.112,0.00343,0.145,0.963,133.351,43,Alt. Rock
Hey Jack Kerouac,"10,000 Maniacs",1987,206413,4,0.616,0.511,6,-15.894,1,0.0279,0.0384,0,0.15,0.604,132.015,40,Alt. Rock
What's the Matter Here?,"10,000 Maniacs",1987,291173,4,0.593,0.816,9,-7.293,1,0.041,0.00449,0.0000317,0.0896,0.519,99.978,12,Alt. Rock
Trouble Me,"10,000 Maniacs",1989,193560,4,0.861,0.385,2,-10.057,1,0.0341,0.154,0,0.123,0.494,117.913,47,Alt. Rock
More Than This,"10,000 Maniacs",1992,245573,4,0.623,0.773,6,-8.8,1,0.0271,0.0155,0.00573,0.0917,0.807,124.644,46,Alt. Rock
These Are Days,"10,000 Maniacs",1992,219893,4,0.611,0.833,3,-7.554,1,0.0351,0.0218,0.000204,0.0923,0.793,108.498,52,Alt. Rock
Verdi Cries,"10,000 Maniacs",1992,260253,4,0.367,0.0256,3,-25.309,1,0.0421,0.917,0.0000739,0.0843,0.178,106.872,34,Alt. Rock
Candy Everybody Wants,"10,000 Maniacs",1992,185960,4,0.622,0.876,10,-6.31,1,0.0305,0.0193,0.00684,0.0987,0.867,104.97,43,Alt. Rock
Because the Night - Live Unplugged,"10,000 Maniacs",1993,223373,4,0.408,0.79,11,-8.138,0,0.103,0.26,0.00027,0.765,0.347,122.624,56,Alt. Rock
Loser,Beck,1994,235000,4,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,70,Alt. Rock
The New Pollution,Beck,1996,219986,4,0.671,0.769,1,-6.529,1,0.0268,0.0287,0.00988,0.32,0.89,131.788,43,Alt. Rock
Devils Haircut,Beck,1996,195440,4,0.684,0.771,7,-4.734,1,0.0283,0.133,0.00112,0.169,0.797,123.22,53,Alt. Rock
Jack-Ass,Beck,1996,252280,4,0.714,0.555,2,-6.664,1,0.0287,0.163,0,0.0942,0.831,106.516,35,Alt. Rock
Where It's At,Beck,1996,330946,4,0.68,0.671,2,-7.142,1,0.0536,0.169,0.0286,0.076,0.532,96.941,43,Alt. Rock
Hell Yes,Beck,1999,197906,4,0.794,0.72,8,-7.4,1,0.35,0.0818,0.0143,0.0846,0.781,193.958,35,Alt. Rock
Sexx Laws,Beck,1999,219240,4,0.646,0.914,4,-4.071,1,0.0448,0.015,0.0000132,0.102,0.849,134.035,45,Alt. Rock
Gamma Ray,Beck,2005,176920,4,0.603,0.909,11,-4.213,0,0.0385,0.109,0.249,0.329,0.7,168.116,62,Alt. Rock
E-Pro,Beck,2005,202360,4,0.624,0.959,11,-6.253,0,0.0769,0.00133,0.171,0.101,0.69,95.794,57,Alt. Rock
For Tomorrow - 2012 Remaster,Blur,1993,261240,4,0.631,0.84,2,-6.025,1,0.0285,0.0143,0,0.0712,0.653,95.849,43,Alt. Rock
This Is a Low - 2012 Remaster,Blur,1994,316906,4,0.271,0.5,9,-8.661,1,0.0325,0.211,0.00156,0.111,0.32,170.06,39,Alt. Rock
Parklife,Blur,1994,187040,4,0.632,0.877,4,-6.905,1,0.0606,0.154,0,0.328,0.749,138.391,56,Alt. Rock
Girls & Boys,Blur,1994,259385,4,0.693,0.875,7,-8.354,0,0.0315,0.00986,0,0.0601,0.899,120.048,68,Alt. Rock
End of a Century - 2012 Remaster,Blur,1994,165840,4,0.446,0.686,7,-7.348,1,0.0303,0.211,0,0.205,0.493,80.572,46,Alt. Rock
Country House,Blur,1995,237733,4,0.341,0.895,9,-6.66,1,0.076,0.147,0,0.0741,0.677,174.987,51,Alt. Rock
Song 2,Blur,1997,121880,4,0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.701,67,Alt. Rock
